storeId,lat,lng,phone,email,opening_1_name,opening_1_hour,opening_2_name,opening_2_hour,opening_3_name,opening_3_hour,opening_4_name,opening_4_hour,opening_5_name,opening_5_hour,opening_6_name,opening_6_hour,opening_7_name,opening_7_hour,name,zipcode,address_1,city,ShopType
8267,48.3364,4.0237,00 00 00 00 00,nomail@kilotou.com,Lundi,07:45-12:00 & 13:30-17:45,Mardi,07:45-12:00 & 13:30-17:45,Mercredi,07:45-12:00 & 13:30-17:45,Jeudi,07:45-12:00 & 13:30-17:45,Vendredi,07:45-12:00 & 13:30-17:45,Samedi,07:45-12:00 & 13:30-17:45,Dimanche,07:45-12:00 & 13:30-17:45,SCE AUBE/YONNE,10600,26 Rue des Valères,BARBEREY ST SULPICE,Service Commercial Elévation
239,45.1859,0.7816,00 00 00 00 00,nomail@kilotou.com,Lundi,07:30-12:00 & 13:30-18:00,Mardi,07:30-12:00 & 13:30-18:00,Mercredi,07:30-12:00 & 13:30-18:00,Jeudi,07:30-12:00 & 13:30-18:00,Vendredi,07:30-12:00 & 13:30-18:00,Samedi,07:30-12:00 & 13:30-18:00,Dimanche,07:30-12:00 & 13:30-18:00,PERIGUEUX - TP,24750,7 rue Gustave Eiffel ZAE Le Landry,BOULAZAC,Agence Terrassement
315,45.1841,0.78,05 35 54 91 38,nomail@kilotou.com,Lundi,07:30-12:00 & 13:30-18:00,Mardi,07:30-12:00 & 13:30-18:00,Mercredi,07:30-12:00 & 13:30-18:00,Jeudi,07:30-12:00 & 13:30-18:00,Vendredi,07:30-12:00 & 13:30-18:00,Samedi,07:30-12:00 & 13:30-18:00,Dimanche,07:30-12:00 & 13:30-18:00,PÉRIGUEUX (Boulazac),24750,avenue Henri Deluc ZI Boulazac,BOULAZAC,Agence Généraliste Terrassement Elévation
448,47.4979,6.8409,03 74 09 79 42,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,MONTBÉLIARD (Taillecourt),25400,19 rue de la Croisée Lieu dit 'sous les prôles',TAILLECOURT,Agence Généraliste Terrassement Elévation
423,44.5721,4.7405,04 28 29 91 82,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:30,Mardi,07:00-12:00 & 13:30-18:30,Mercredi,07:00-12:00 & 13:30-18:30,Jeudi,07:00-12:00 & 13:30-18:30,Vendredi,07:00-12:00 & 13:30-18:30,Samedi,07:00-12:00 & 13:30-18:30,Dimanche,07:00-12:00 & 13:30-18:30,MONTÉLIMAR - Point.P,26200,2 avenue Agricol Perdiguier ZA de Meyrol,MONTELIMAR,Agence Généraliste Terrassement Elévation
384,47.9803,-4.0165,02 85 52 98 82,nomail@kilotou.com,Lundi,07:30-12:00 & 13:30-18:00,Mardi,07:30-12:00 & 13:30-18:00,Mercredi,07:30-12:00 & 13:30-18:00,Jeudi,07:30-12:00 & 13:30-18:00,Vendredi,07:30-12:00 & 13:30-18:00,Samedi,07:30-12:00 & 13:30-18:00,Dimanche,07:30-12:00 & 13:30-18:00,QUIMPER,29000,482 route de Rosporden,QUIMPER,Agence Généraliste Terrassement Elévation
9336,43.719045,1.38502,00 00 00 00 00,nomail@kilotou.com,Lundi,07:00-12:15 & 13:30-18:00,Mardi,07:00-12:15 & 13:30-18:00,Mercredi,07:00-12:15 & 13:30-18:00,Jeudi,07:00-12:15 & 13:30-18:00,Vendredi,07:00-12:15 & 13:30-18:00,Samedi,07:00-12:15 & 13:30-18:00,Dimanche,07:00-12:15 & 13:30-18:00,POLE FIDELISATION MIDI-PYRENEES,31140,Impasse des Battants,SAINT-ALBAN,Service Commercial Terrassement
219,43.6548,1.426,00 00 00 00 00,nomail@kilotou.com,Lundi,07:30-12:00 & 14:00-18:00,Mardi,07:30-12:00 & 14:00-18:00,Mercredi,07:30-12:00 & 14:00-18:00,Jeudi,07:30-12:00 & 14:00-18:00,Vendredi,07:30-12:00 & 14:00-18:00,Samedi,07:30-12:00 & 14:00-18:00,Dimanche,07:30-12:00 & 14:00-18:00,TOULOUSE - TP NORD,31200,312 avenue des Etats-Unis,TOULOUSE,Agence Terrassement
309,43.5608,1.4959,05 35 54 91 03,nomail@kilotou.com,Lundi,07:30-12:00 & 13:30-18:00,Mardi,07:30-12:00 & 13:30-18:00,Mercredi,07:30-12:00 & 13:30-18:00,Jeudi,07:30-12:00 & 13:30-18:00,Vendredi,07:30-12:00 & 13:30-18:00,Samedi,07:30-12:00 & 13:30-18:00,Dimanche,07:30-12:00 & 13:30-18:00,TOULOUSE (Montaudran),31400,22 rue des Cosmonautes,TOULOUSE,Agence Généraliste
321,44.791,-0.5337,05 35 54 91 57,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,BÈGLES,33130,431 rue Denis Papin ZI Tartifume,BEGLES,Agence Généraliste
Q310,44.7764,-0.66,05 35 54 58 74,nomail@kilotou.com,Lundi,08:00-12:00 & 14:00-18:00,Mardi,08:00-12:00 & 14:00-18:00,Mercredi,08:00-12:00 & 14:00-18:00,Jeudi,08:00-12:00 & 14:00-18:00,Vendredi,08:00-12:00 & 14:00-18:00,Samedi,08:00-12:00 & 14:00-18:00,Dimanche,08:00-12:00 & 14:00-18:00,AGENCE ELEVATION TERRASSEMENT DE CANEJAN,33610,39 RUE GUSTAVE EIFFEL ZAC DU POUJEAU PENDU,CANEJAN,Quai Elévation Terrassement
7320,44.7755711,-0.6590375,05 35 54 91 65,nomail@kilotou.com,Lundi,08:00-12:00 & 14:00-18:30,Mardi,08:00-12:00 & 14:00-18:30,Mercredi,08:00-12:00 & 14:00-18:30,Jeudi,08:00-12:00 & 14:00-18:30,Vendredi,08:00-12:00 & 14:00-18:30,Samedi,08:00-12:00 & 14:00-18:30,Dimanche,08:00-12:00 & 14:00-18:30,SCET REGION SUD OUEST,33610,Avenue Gustave Eiffel ZAC du Poujeau Pendu,CANEJAN,SCET (mode région)
Q311,44.876156,-0.560193,00 00 00 00 00,nomail@kilotou.com,Lundi,08:00-12:00 & 14:00-18:00,Mardi,08:00-12:00 & 14:00-18:00,Mercredi,08:00-12:00 & 14:00-18:00,Jeudi,08:00-12:00 & 14:00-18:00,Vendredi,08:00-12:00 & 14:00-18:00,Samedi,08:00-12:00 & 14:00-18:00,Dimanche,08:00-12:00 & 14:00-18:00,QUAI BORDEAUX VL,33700,Rue Isaac Newton ZAC du Chemin long,MERIGNAC,Agence Spécialisée
9530,43.579,3.934,00 00 00 00 00,nomail@kilotou.com,Lundi,07:00-12:15 & 13:30-18:00,Mardi,07:00-12:15 & 13:30-18:00,Mercredi,07:00-12:15 & 13:30-18:00,Jeudi,07:00-12:15 & 13:30-18:00,Vendredi,07:00-12:15 & 13:30-18:00,Samedi,07:00-12:15 & 13:30-18:00,Dimanche,07:00-12:15 & 13:30-18:00,POLE FIDÉLISATION LANGUEDOC-ROUSSILLON,34470,route de Carnon route des plages,PEROLS,Service Commercial Terrassement
388,48.6375,-1.9895,02 85 52 96 63,nomail@kilotou.com,Lundi,07:30-12:00 & 13:30-18:00,Mardi,07:30-12:00 & 13:30-18:00,Mercredi,07:30-12:00 & 13:30-18:00,Jeudi,07:30-12:00 & 13:30-18:00,Vendredi,07:30-12:00 & 13:30-18:00,Samedi,07:30-12:00 & 13:30-18:00,Dimanche,07:30-12:00 & 13:30-18:00,SAINT-MALO,35400,79 avenue du Général de Gaulle,ST MALO,Agence Généraliste Terrassement Elévation
381,48.1107,-1.5835,02 85 52 99 03,nomail@kilotou.com,Lundi,07:30-12:00 & 13:30-18:00,Mardi,07:30-12:00 & 13:30-18:00,Mercredi,07:30-12:00 & 13:30-18:00,Jeudi,07:30-12:00 & 13:30-18:00,Vendredi,07:30-12:00 & 13:30-18:00,Samedi,07:30-12:00 & 13:30-18:00,Dimanche,07:30-12:00 & 13:30-18:00,RENNES (Cesson-Sévigné),35510,10 route de Domloup Les Forges,CESSON SEVIGNE,Agence Généraliste
420,45.2382,5.6688,04 28 29 92 24,nomail@kilotou.com,Lundi,07:00-12:00 & 13:45-18:00,Mardi,07:00-12:00 & 13:45-18:00,Mercredi,07:00-12:00 & 13:45-18:00,Jeudi,07:00-12:00 & 13:45-18:00,Vendredi,07:00-12:00 & 13:45-18:00,Samedi,07:00-12:00 & 13:45-18:00,Dimanche,07:00-12:00 & 13:45-18:00,SAINT-EGRÈVE,38120,6 rue de la Trémouillère Centre commercial CAP 38,ST EGREVE,Agence Généraliste
7420,45.163,5.7553,04 28 29 91 87,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,SCET REGION ALPES,38400,1 rue du Béal ZI Sud,ST MARTIN D HERES,SCET (mode région)
374,47.2583,-1.5008,02 85 52 96 71,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,NANTES EST,44000,17 rue du Marché Commun,NANTES,Agence Généraliste
9370,47.2576,-1.502,00 00 00 00 00,nomail@kilotou.com,Lundi,07:30-12:00 & 13:30-18:00,Mardi,07:30-12:00 & 13:30-18:00,Mercredi,07:30-12:00 & 13:30-18:00,Jeudi,07:30-12:00 & 13:30-18:00,Vendredi,07:30-12:00 & 13:30-18:00,Samedi,07:30-12:00 & 13:30-18:00,Dimanche,07:30-12:00 & 13:30-18:00,POLE FIDELISATION PDL,44300,3 rue d'italie,NANTES,Service Commercial Terrassement
351,47.9045,1.8556,02 85 52 96 68,nomail@kilotou.com,Lundi,07:30-12:00 & 13:30-18:00,Mardi,07:30-12:00 & 13:30-18:00,Mercredi,07:30-12:00 & 13:30-18:00,Jeudi,07:30-12:00 & 13:30-18:00,Vendredi,07:30-12:00 & 13:30-18:00,Samedi,07:30-12:00 & 13:30-18:00,Dimanche,07:30-12:00 & 13:30-18:00,INGRE,45140,4 rue Lavoisier,INGRE,Agence Généraliste Terrassement Elévation
365,47.4876,-0.5457,02 85 52 96 70,nomail@kilotou.com,Lundi,07:30-12:00 & 13:30-18:00,Mardi,07:30-12:00 & 13:30-18:00,Mercredi,07:30-12:00 & 13:30-18:00,Jeudi,07:30-12:00 & 13:30-18:00,Vendredi,07:30-12:00 & 13:30-18:00,Samedi,07:30-12:00 & 13:30-18:00,Dimanche,07:30-12:00 & 13:30-18:00,ANGERS,49000,7 quai Félix Faure ZI de Saint-Serge,ANGERS,Agence Généraliste
Q485,47.489,-0.5061,00 00 00 00 00,nomail@kilotou.com,Lundi,07:30-12:00 & 13:30-18:00,Mardi,07:30-12:00 & 13:30-18:00,Mercredi,07:30-12:00 & 13:30-18:00,Jeudi,07:30-12:00 & 13:30-18:00,Vendredi,07:30-12:00 & 13:30-18:00,Samedi,07:30-12:00 & 13:30-18:00,Dimanche,07:30-12:00 & 13:30-18:00,AGENCE ELEVATION D'ANGERS,49124,8 RUE DE LA SAILLERIE,ST BARTHELEMY D'ANJOU,Quai Elévation Terrassement
377,47.077,-0.8336,02 85 52 96 69,nomail@kilotou.com,Lundi,07:30-12:00 & 13:30-18:00,Mardi,07:30-12:00 & 13:30-18:00,Mercredi,07:30-12:00 & 13:30-18:00,Jeudi,07:30-12:00 & 13:30-18:00,Vendredi,07:30-12:00 & 13:30-18:00,Samedi,07:30-12:00 & 13:30-18:00,Dimanche,07:30-12:00 & 13:30-18:00,CHOLET,49312,84 avenue d'Angers ZAC de l'Ecuyère,CHOLET CEDEX,Agence Généraliste Terrassement Elévation
9139,49.2338577,4.0833246,00 00 00 00 00,nomail@kilotou.com,Lundi,08:00-12:00 & 13:30-17:00,Mardi,08:00-12:00 & 13:30-17:00,Mercredi,08:00-12:00 & 13:30-17:00,Jeudi,08:00-12:00 & 13:30-17:00,Vendredi,08:00-12:00 & 13:30-17:00,Samedi,08:00-12:00 & 13:30-17:00,Dimanche,08:00-12:00 & 13:30-17:00,POLE FIDELISATION AISNE CHAMPAGNE ARDENNES,51100,rue des macécliers,REIMS,SCET (mode région)
8133,49.215,4.1135,00 00 00 00 00,nomail@kilotou.com,Lundi,08:00-12:00 & 13:30-17:00,Mardi,08:00-12:00 & 13:30-17:00,Mercredi,08:00-12:00 & 13:30-17:00,Jeudi,08:00-12:00 & 13:30-17:00,Vendredi,08:00-12:00 & 13:30-17:00,Samedi,08:00-12:00 & 13:30-17:00,Dimanche,08:00-12:00 & 13:30-17:00,SCE REIMS,51100,7 Rue des Macecliers,Reims,Service Commercial Elévation
155,48.6544,6.1864,03 74 09 83 12,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,VANDOEUVRE-LES-NANCY,54500,4 rue Jean Mermoz Le dernier Sou,VANDOEUVRE LES NANCY,Agence Généraliste Terrassement Elévation
504,49.1109,6.2435,00 00 00 00 00,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,METZ BORNY,57070,19 rue des Potiers d’Etain,METZ,Agence Terrassement
150,49.2262,6.1799,03 74 09 83 28,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,METZ (Talange),57525,Route de Hauconcourt ZAC Hauconcourt-Talange,TALANGE,Agence Généraliste
9120,51.00911,2.379933,00 00 00 00 00,nomail@kilotou.com,Lundi,08:00-12:00 & 13:30-17:00,Mardi,08:00-12:00 & 13:30-17:00,Mercredi,08:00-12:00 & 13:30-17:00,Jeudi,08:00-12:00 & 13:30-17:00,Vendredi,08:00-12:00 & 13:30-17:00,Samedi,08:00-12:00 & 13:30-17:00,Dimanche,08:00-12:00 & 13:30-17:00,POLE FIDELISATION LITTORAL FLANDRES LYS,59210,48 T route de Bergues,COUDEKERQUE BRANCHE,SCET (mode région)
8127,51.0097,2.3805,00 00 00 00 00,nomail@kilotou.com,Lundi,08:00-12:00 & 13:30-17:00,Mardi,08:00-12:00 & 13:30-17:00,Mercredi,08:00-12:00 & 13:30-17:00,Jeudi,08:00-12:00 & 13:30-17:00,Vendredi,08:00-12:00 & 13:30-17:00,Samedi,08:00-12:00 & 13:30-17:00,Dimanche,08:00-12:00 & 13:30-17:00,SCE DE COUDEKERQUE,59210,48 TER ROUTE DE BERGUES AGENCE KILOUTOU ELEVATION,COUDEKERQUE BRANCHE,Service Commercial Elévation
9140,50.3516597,3.4922809,00 00 00 00 00,nomail@kilotou.com,Lundi,08:00-12:00 & 13:30-17:00,Mardi,08:00-12:00 & 13:30-17:00,Mercredi,08:00-12:00 & 13:30-17:00,Jeudi,08:00-12:00 & 13:30-17:00,Vendredi,08:00-12:00 & 13:30-17:00,Samedi,08:00-12:00 & 13:30-17:00,Dimanche,08:00-12:00 & 13:30-17:00,POLE FIDELISATION HAINAUT ARTOIS,59300,198 avenue de denain,VALENCIENNES,SCET (mode région)
Q184,50.1617,3.2261,00 00 00 00 00,nomail@kilotou.com,Lundi,08:00-12:00 & 13:30-17:00,Mardi,08:00-12:00 & 13:30-17:00,Mercredi,08:00-12:00 & 13:30-17:00,Jeudi,08:00-12:00 & 13:30-17:00,Vendredi,08:00-12:00 & 13:30-17:00,Samedi,08:00-12:00 & 13:30-17:00,Dimanche,08:00-12:00 & 13:30-17:00,AGENCE ELEVATION DE  CAMBRAI,59400,1048 avenue de Paris,CAMBRAI,Quai Elévation Terrassement
Q110,50.6643,3.1132,00 00 00 00 00,nomail@kilotou.com,Lundi,08:00-12:00 & 13:30-17:00,Mardi,08:00-12:00 & 13:30-17:00,Mercredi,08:00-12:00 & 13:30-17:00,Jeudi,08:00-12:00 & 13:30-17:00,Vendredi,08:00-12:00 & 13:30-17:00,Samedi,08:00-12:00 & 13:30-17:00,Dimanche,08:00-12:00 & 13:30-17:00,AGENCE ECHAFAUDAGE DE LILLE,59700,70 AVENUE DE FLANDRE,MARCQ EN BAROEUL,Agence Spécialisée
110,50.6643,3.1132,04 91 87 74 74,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,MARCQ-EN-BAROEUL,59700,70 avenue de Flandre,MARCQ EN BAROEUL,Agence Généraliste
9190,50.5979,3.1316,00 00 00 00 00,nomail@kilotou.com,Lundi,08:00-12:00 & 13:30-17:00,Mardi,08:00-12:00 & 13:30-17:00,Mercredi,08:00-12:00 & 13:30-17:00,Jeudi,08:00-12:00 & 13:30-17:00,Vendredi,08:00-12:00 & 13:30-17:00,Samedi,08:00-12:00 & 13:30-17:00,Dimanche,08:00-12:00 & 13:30-17:00,SCT REGION NORD CHAMPAGNE,59810,119 rue Pierre Brizon,LESQUIN,Service Commercial Terrassement
9117,50.5812198,3.0811893,00 00 00 00 00,nomail@kilotou.com,Lundi,08:00-12:00 & 13:30-17:00,Mardi,08:00-12:00 & 13:30-17:00,Mercredi,08:00-12:00 & 13:30-17:00,Jeudi,08:00-12:00 & 13:30-17:00,Vendredi,08:00-12:00 & 13:30-17:00,Samedi,08:00-12:00 & 13:30-17:00,Dimanche,08:00-12:00 & 13:30-17:00,POLE FIDELISATION METROPOLE LILLOISE,59930,9023 rue André Ampère Zone commerciale AUCHAN FACHES THUMESNIL,LA CHAPELLLE D'ARMENTIERES,SCET (mode région)
286,49.4302,2.1162,03 74 09 82 89,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,BEAUVAIS,60000,241 rue de Clermont,BEAUVAIS,Agence Généraliste Terrassement Elévation
Q295,49.3844,2.4622,00 00 00 00 00,nomail@kilotou.com,Lundi,08:00-12:00 & 13:30-17:00,Mardi,08:00-12:00 & 13:30-17:00,Mercredi,08:00-12:00 & 13:30-17:00,Jeudi,08:00-12:00 & 13:30-17:00,Vendredi,08:00-12:00 & 13:30-17:00,Samedi,08:00-12:00 & 13:30-17:00,Dimanche,08:00-12:00 & 13:30-17:00,AGENCE ELEVATION DE CLERMONT DE L'OISE,60840,Rue des sables ZA de la Ferme des sables,BREUIL LE SEC,Quai Elévation Terrassement
295,49.3845,2.4622,03 66 88 13 84,nomail@kilotou.com,Lundi,07:30-12:00 & 13:30-18:00,Mardi,07:30-12:00 & 13:30-18:00,Mercredi,07:30-12:00 & 13:30-18:00,Jeudi,07:30-12:00 & 13:30-18:00,Vendredi,07:30-12:00 & 13:30-18:00,Samedi,07:30-12:00 & 13:30-18:00,Dimanche,07:30-12:00 & 13:30-18:00,CLERMONT DE L'OISE,60840,ZA de la Ferme des Sables,BREUIL LE SEC,Agence Généraliste Terrassement Elévation
392,48.4475,0.0995,02 85 52 96 64,nomail@kilotou.com,Lundi,07:30-12:00 & 13:45-18:00,Mardi,07:30-12:00 & 13:45-18:00,Mercredi,07:30-12:00 & 13:45-18:00,Jeudi,07:30-12:00 & 13:45-18:00,Vendredi,07:30-12:00 & 13:45-18:00,Samedi,07:30-12:00 & 13:45-18:00,Dimanche,07:30-12:00 & 13:45-18:00,ALENÇON (Valframbert),61250,13 Les Grouas Gâtel RN 138,VALFRAMBERT,Agence Généraliste Terrassement Elévation
Q187,50.2655,2.8041,00 00 00 00 00,nomail@kilotou.com,Lundi,08:00-12:00 & 13:30-17:00,Mardi,08:00-12:00 & 13:30-17:00,Mercredi,08:00-12:00 & 13:30-17:00,Jeudi,08:00-12:00 & 13:30-17:00,Vendredi,08:00-12:00 & 13:30-17:00,Samedi,08:00-12:00 & 13:30-17:00,Dimanche,08:00-12:00 & 13:30-17:00,AGENCE ELEVATION D'ARRAS,62000,rue Matthieu d'Orfila ZI Est,ARRAS,Quai Elévation Terrassement
185,50.4569,2.8238,03 74 09 82 48,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,LENS,62300,3 rue Léon Droux,LENS,Agence Généraliste Terrassement Elévation
